Fd,Family,Type,Laddr,Raddr,Status,Pid,FamilyString,Timestamp,TypeString
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 135
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1732,IPv4,2026-03-13T03:21:49Z,TCP
0,2,1,"{
 ""IP"": ""172.21.80.1"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-03-13T07:35:45Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.3"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-03-13T03:22:08Z,TCP
0,2,1,"{
 ""IP"": ""192.168.147.1"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-03-13T03:25:37Z,TCP
0,2,1,"{
 ""IP"": ""192.168.172.1"",
 ""Port"": 139
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-03-13T03:21:57Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 902
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5680,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 912
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5680,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 5040
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,10036,IPv4,2026-03-13T03:21:55Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 5354
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49670
}",ESTAB,2364,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 5354
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49669
}",ESTAB,2364,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 5354
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,2364,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 7070
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4040,IPv4,2026-03-13T03:21:56Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49680
}",ESTAB,9616,IPv4,2026-03-13T09:11:26Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 13219
}",ESTAB,9616,IPv4,2026-03-13T09:11:27Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 13218
}",ESTAB,9616,IPv4,2026-03-13T09:11:27Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49678
}",ESTAB,9616,IPv4,2026-03-13T09:11:26Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 47702
}",ESTAB,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8003
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 34202
}",ESTAB,9616,IPv4,2026-03-13T09:11:28Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 9180
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,6192,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.3"",
 ""Port"": 13158
}","{
 ""IP"": ""3.108.35.59"",
 ""Port"": 443
}",ESTAB,16596,IPv4,2026-03-13T03:22:18Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 13218
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,9616,IPv4,2026-03-13T09:11:27Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 13219
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,9616,IPv4,2026-03-13T09:11:27Z,TCP
0,2,1,"{
 ""IP"": ""192.168.1.3"",
 ""Port"": 17311
}","{
 ""IP"": ""148.113.16.36"",
 ""Port"": 443
}",ESTAB,4040,IPv4,2026-03-13T03:23:01Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 22350
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,6240,IPv4,2026-03-13T03:21:56Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 22350
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,6240,IPv4,2026-03-13T03:21:56Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 22352
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,6220,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 27015
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5412,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 34202
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8889
}",ESTAB,14332,IPv4,2026-03-13T09:11:28Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 47702
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8001
}",ESTAB,9616,IPv4,2026-03-13T09:11:24Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49664
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1464,IPv4,2026-03-13T03:21:49Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49665
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1300,IPv4,2026-03-13T03:21:49Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49666
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,932,IPv4,2026-03-13T03:21:50Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49667
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,3912,IPv4,2026-03-13T03:21:50Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49668
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,5848,IPv4,2026-03-13T03:21:51Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49669
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 5354
}",ESTAB,5412,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49670
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 5354
}",ESTAB,5412,IPv4,2026-03-13T03:21:52Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 49673
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,1432,IPv4,2026-03-13T03:21:53Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49678
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,9616,IPv4,2026-03-13T09:11:26Z,TCP
0,2,1,"{
 ""IP"": ""127.0.0.1"",
 ""Port"": 49680
}","{
 ""IP"": ""127.0.0.1"",
 ""Port"": 8000
}",ESTAB,9616,IPv4,2026-03-13T09:11:26Z,TCP
0,2,1,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 445
}","{
 ""IP"": ""0.0.0.0"",
 ""Port"": 0
}",LISTEN,4,IPv4,2026-03-13T03:21:51Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 135
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1732,IPv6,2026-03-13T03:21:49Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 445
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4,IPv6,2026-03-13T03:21:51Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 7070
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,4040,IPv6,2026-03-13T03:21:56Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 21276
}","{
 ""IP"": ""2603:1040:a06:8::421"",
 ""Port"": 443
}",ESTAB,14332,IPv6,2026-03-13T09:16:47Z,TCP
0,23,1,"{
 ""IP"": ""::1"",
 ""Port"": 22350
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,6240,IPv6,2026-03-13T03:21:56Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 38570
}","{
 ""IP"": ""2603:1040:5:3::a"",
 ""Port"": 443
}",ESTAB,10908,IPv6,2026-03-13T08:51:36Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 40314
}","{
 ""IP"": ""2606:4700:8391:d8b7:9a0c:1:ccf5:ac50"",
 ""Port"": 443
}",ESTAB,15960,IPv6,2026-03-13T09:03:09Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 48138
}","{
 ""IP"": ""2404:6800:4003:c0f::bc"",
 ""Port"": 5228
}",ESTAB,15960,IPv6,2026-03-13T07:35:47Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 49411
}","{
 ""IP"": ""2603:1040:a06:6::2"",
 ""Port"": 443
}",ESTAB,6208,IPv6,2026-03-13T09:02:38Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49664
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1464,IPv6,2026-03-13T03:21:49Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49665
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1300,IPv6,2026-03-13T03:21:49Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49666
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,932,IPv6,2026-03-13T03:21:50Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49667
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,3912,IPv6,2026-03-13T03:21:50Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49668
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,5848,IPv6,2026-03-13T03:21:51Z,TCP
0,23,1,"{
 ""IP"": ""::"",
 ""Port"": 49673
}","{
 ""IP"": ""::"",
 ""Port"": 0
}",LISTEN,1432,IPv6,2026-03-13T03:21:53Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 50189
}","{
 ""IP"": ""2620:1ec:bdf::72"",
 ""Port"": 443
}",ESTAB,14332,IPv6,2026-03-13T09:16:28Z,TCP
0,23,1,"{
 ""IP"": ""2401:4900:1c23:3822:d14f:10e5:8a72:c191"",
 ""Port"": 59393
}","{
 ""IP"": ""2620:1ec:33::11"",
 ""Port"": 443
}",ESTAB,14332,IPv6,2026-03-13T09:11:28Z,TCP
0,2,2,"{
 ""IP"": ""0.0.0.0"",
 ""Port"": 53
}","{
 ""IP"": """",
 ""Port"": 0
}",,3708,IPv4,2026-03-13T07:35:42Z,UDP
0,2,2,"{
 ""IP"": ""172.21.80.1"",
 ""Port"": 137
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-03-13T07:35:45Z,UDP
0,2,2,"{
 ""IP"": ""192.168.1.3"",
 ""Port"": 137
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-03-13T03:22:08Z,UDP
0,2,2,"{
 ""IP"": ""192.168.147.1"",
 ""Port"": 137
}","{
 ""IP"": """",
 ""Port"": 0
}",,4,IPv4,2026-03-13T03:25:37Z,UDP
